2023-12-08 08:51:46 | INFO | model_worker | args: Namespace(host='localhost', port=22222, worker_address='http://localhost:22222', controller_address='http://localhost:22002', model_path='/new_data/models/agentlm-7b/', revision='main', device='cuda', gpus=None, num_gpus=2, max_gpu_memory='23GiB', dtype=None, load_8bit=False, cpu_offloading=False, gptq_ckpt=None, gptq_wbits=16, gptq_groupsize=-1, gptq_act_order=False, awq_ckpt=None, awq_wbits=16, awq_groupsize=-1, enable_exllama=False, exllama_max_seq_len=4096, exllama_gpu_split=None, model_names=None, conv_template=None, embed_in_truncate=False, limit_worker_concurrency=5, stream_interval=2, no_register=False, seed=None)
2023-12-08 08:51:46 | INFO | model_worker | Loading the model ['agentlm-7b'] on worker 1b93b223 ...
2023-12-08 08:51:46 | ERROR | stderr | Loading checkpoint shards:   0%|                                                                           | 0/2 [00:00<?, ?it/s]
2023-12-08 08:51:50 | ERROR | stderr | Loading checkpoint shards:  50%|█████████████████████████████████▌                                 | 1/2 [00:03<00:03,  3.97s/it]
2023-12-08 08:51:52 | ERROR | stderr | Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████| 2/2 [00:05<00:00,  2.39s/it]
2023-12-08 08:51:52 | ERROR | stderr | Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████| 2/2 [00:05<00:00,  2.63s/it]
2023-12-08 08:51:52 | ERROR | stderr | 
2023-12-08 08:51:52 | INFO | model_worker | Register to controller
2023-12-08 08:51:52 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m411481[0m]
2023-12-08 08:51:52 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2023-12-08 08:51:52 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2023-12-08 08:51:52 | ERROR | stderr | [32mINFO[0m:     Uvicorn running on [1mhttp://localhost:22222[0m (Press CTRL+C to quit)
2023-12-08 08:52:37 | INFO | model_worker | Send heart beat. Models: ['agentlm-7b']. Semaphore: None. call_ct: 0. worker_id: 1b93b223. 
2023-12-08 08:53:22 | INFO | model_worker | Send heart beat. Models: ['agentlm-7b']. Semaphore: None. call_ct: 0. worker_id: 1b93b223. 
